ema9,ema21,ema_cross,rsi,macd_line,macd_hist,adx,bb_width,bb_position,momentum3,return_1,return_3,return_5,volatility_10,volatility_20,high_low_5,target,optimal_duration
708.5522950956996,771.7188003715811,-0.08916155730945231,6.656226680260019,-394.229160345688,185.4353401307293,87.28731281104244,0.0010267009191365886,0.40583371739296864,-0.15999999999996817,-0.00014113330040210154,-0.00022579416039848177,-0.00022579416039848177,0.00022305879116488056,0.00019752427588444254,0.0003669983767379362,0,10
708.4897018099346,711.5956678999694,-0.004385471153895326,40.07069891893252,-18.292869068216532,8.591600759991415,27.263405303342477,0.0010352130567098852,0.1550507408698227,-0.39999999999997726,-0.0002964217658268563,-0.0005644615037254139,-0.0006631767577712002,0.00017012243671072984,0.00019641769205281385,0.0005647803004630878,1,1
708.4677568956839,709.4605372952547,-0.0014014799960060046,48.33013752616531,-5.190353426296724,2.420096330456639,83.24704390349032,0.0009963859146132326,0.3647145920176277,-0.16999999999995907,0.00019767310516207267,-0.00023992661068373308,-0.0003245791055729078,0.00018212023987251684,0.00020292568768899018,0.0005646686806515956,0,5
708.376205306779,709.2437542634784,-0.0012253343267742908,48.71345561899537,-4.301458412562283,1.958977796211669,87.27068741018367,0.0011293043192309126,-0.043716018810671727,-0.44000000000005457,-0.0005223185296027621,-0.0006210741760181446,-0.0008890268683675709,0.0002002750666794776,0.00022885005177562874,0.0007627010917924374,0,3
708.2609690074551,711.0402170400872,-0.003926600780774447,34.49317062252321,-16.329769589833404,7.567927513829066,4.822847468968638,0.001369763098437666,-0.12606246913162245,-0.44000000000005457,-0.0002966059801415748,-0.0006212583305095088,-0.0010584997530167244,0.0002051427250488579,0.0002352319534358724,0.0009183385137045649,0,3
708.15876982032,708.5609494530288,-0.0005682509822801753,50.168614626828465,-1.255986678862655,0.44399670641743816,98.56579943673401,0.0015904757605854983,-0.05385352283665803,-0.6299999999999955,-7.064142413104625e-05,-0.0008893531720263071,-0.0009880725527560807,0.0002056661183582642,0.0002333790549154747,0.0008901448251501172,0,5
708.0330163448664,708.6650205920309,-0.0008932543456313645,47.95063814602437,-2.480354076077674,0.9787481998656213,80.5444612438163,0.0018994890786818931,-0.09570352529844128,-0.4800000000000182,-0.00031084422465563725,-0.0006779565260377936,-0.001002485033322089,0.0001922293589191842,0.00024036022485426366,0.0012013624863963688,0,10
707.928412587283,708.3622249034779,-0.0006131536178922093,50.12204267738747,-1.0832891797059574,0.297603875141103,98.40288874305357,0.002149553856576821,-0.011000567351739723,-0.2899999999999636,-2.8267352621064562e-05,-0.00040972025996038945,-0.0012281543804172966,0.00019665584970956067,0.00024008620163779086,0.0007067037921725488,1,5
707.8647354554705,710.4739977683938,-0.0036874299584846257,1.1326819112669284,-14.945320583872672,6.8178168308619895,99.17290255663954,0.0023061295998163755,0.1054065526765446,-0.13999999999998636,0.0001413407584345419,-0.00019780996114445264,-0.0005649637716981078,0.00020849343633106603,0.0002432680102810303,0.0004098302737383073,1,5
707.8197830768805,708.0759359007228,-0.00036198183234735916,35.345419663839195,-0.20831878233389034,-0.10350928247641035,28.064616728398587,0.0024269875474268857,0.16052876597945692,0.11000000000001364,4.239623521427441e-05,0.00015547043941601578,-0.0002260525572195086,0.0002160467631568137,0.0002440304868020944,0.00033915550279804577,0,10
707.7378264614831,708.0153876974362,-0.0003923626128455127,31.048370394704293,-0.23284325340353007,-0.10249650825657206,29.835918817103696,0.0026202533200385815,0.07885175762412466,-0.10000000000002274,-0.0003250240235148072,-0.0001413407584345419,-0.0004803956199223339,0.00022401988290080222,0.0002455817907620856,0.00032512969847757055,1,3
707.6962611691638,707.971252307487,-0.00038866357373288794,35.45992645588903,-0.2398188219374333,-0.08765251357041273,31.47920247759376,0.002718562664222766,0.18028264649463033,-0.08000000000004093,0.00016963288616220375,-0.00011305662723822575,0.0,0.00023620710453181614,0.00020884208674226058,0.0003250745551425638,1,3
707.7090089353098,707.9520389763127,-0.0003433791694964952,42.98796568064311,-0.22419859781984997,-0.057695337886542186,31.296621973310405,0.0027196665268826204,0.3187785267907462,0.12000000000000455,0.0003250745551425638,0.00016957775139902288,0.0003533518960862744,0.00025464910953649833,0.0002242844705797826,0.000494517915677663,1,1
707.7332071482024,707.9409260526476,-0.00029345874637298086,45.09604035579959,-0.20374996605198703,-0.029947068162506862,30.680007252335688,0.0026197001964094447,0.37357922931463966,0.42000000000007276,9.890358313559684e-05,0.0005937151015677934,0.00031090572490500033,0.00021344345477599042,0.0002103163074932732,0.0005933628131049443,1,1
707.7705657185634,707.9390243439133,-0.0002379627999631303,47.756454852760854,-0.1783314566118861,-0.0036175014471548916,29.526453490873706,0.0024819652924865238,0.4405335106449467,0.38999999999998636,0.00012714917423663612,0.000551213376111241,0.00039568141993099985,0.00019681101921864384,0.0002140080210940511,0.0007204203864843357,0,5
707.7584525748182,707.9181907552456,-0.0002257113512984685,42.574961366227335,-0.173048803435222,0.0012251900423879969,28.981883539339773,0.0023889361618329836,0.3406567971332975,-0.049999999999954525,-0.0002966436885522696,-7.064541652531158e-05,0.00042408221540558974,0.0002174664953714279,0.0002194229788048708,0.0005510731796922275,0,5
707.684762059866,707.8701780316778,-0.00026211279748347493,36.12983436338798,-0.19256565726686858,-0.014595906144174386,29.536366952427308,0.0022960601087342086,0.1779278011868983,-0.44000000000005457,-0.00045216260897832446,-0.0006216181851575301,-0.00019787146834761264,0.0002402406775443122,0.00022961880466868632,0.0007492330963117555,0,5
707.6178096478685,707.8228792243822,-0.00028991245707735234,35.41416615375236,-0.20876498283723777,-0.02471638419153105,30.201959621622187,0.0022087381831037865,0.1798759522380732,-0.5699999999999363,-5.654589406121605e-05,-0.0008051757260706526,-0.0005792924155080369,0.00024049047550991394,0.00022947598354134796,0.0008058245564429721,1,1
707.5742477182556,707.7844198260098,-0.00029710504347490383,37.11321244386927,-0.21504147831092268,-0.024922622429332242,30.78670127181678,0.002021219163814728,0.22843480139311745,-0.3100000000000591,7.068636460020431e-05,-0.00043803252744776687,-0.0006074904991312372,0.0002365766190543104,0.00023036843354577228,0.0008057675996606395,0,3
707.5193981746111,707.7403842987619,-0.0003124361998456675,35.132599388921875,-0.22558785723254005,-0.028353816782251934,31.41295607858961,0.0018483025067639325,0.17433476796363212,-0.09000000000003183,-0.00014136273678261625,-0.00012722826163789682,-0.0008758051757260773,0.00023740178564684176,0.00023051264068059857,0.0005796691644282227,0,10
707.4455185396741,707.6867070616795,-0.0003410712324193723,32.34961494147649,-0.2431935764100217,-0.03681574915834182,32.47193493613072,0.0017246748788451614,0.0813140370982128,-0.20000000000004547,-0.00021207408454683625,-0.0002827454584011387,-0.0007912845657120276,0.00022638571290665182,0.00023184098711226053,0.0003535317825072474,1,3
707.3984148317295,707.6433660979421,-0.0003463628430206559,34.58893852956989,-0.24943626787933226,-0.034478832250451674,33.44947158729782,0.0016369302359571577,0.15510018765537986,-0.18999999999994088,8.484762780182297e-05,-0.00026858919988682623,-0.0002544565232756329,0.0002199956397420009,0.00022989921571751017,0.0003535017887190509,1,3
707.394731865418,707.6194375788571,-0.00031765912725707123,40.56911550820026,-0.23803318413854413,-0.018348322847803744,33.03137940266983,0.0013173947679723575,0.30743136488101647,0.08000000000004093,0.00024038121632889673,0.00011310617842505434,4.241181876012259e-05,0.00020681265450194107,0.00023258368156361186,0.00035341683395063474,1,1
707.4277854922675,707.6140071153757,-0.0002631884548422289,46.20552674306259,-0.21178019726801267,0.006104522595298201,31.766038705587395,0.0011811578325256625,0.5275214141643562,0.40999999999996817,0.0002544601204443863,0.0005797921233118408,0.0002261803788520896,0.00022292693775550202,0.00021832941249494693,0.000579456159194935,1,1
707.474228393775,707.6181724541855,-0.00020340850183773315,49.098732783064904,-0.18086595990428123,0.029486689823191803,30.01597066928707,0.0011433436555994601,0.6607021573410891,0.4499999999999318,0.00014133077053539312,0.0006363032196941952,0.0005089778029125034,0.00022401628201216696,0.00021255429850889696,0.0007206850747533999,0,5
